Comment,Designator,Footprint,LCSC,Quantity
PRTR5V0U2X,D1,SOT-143,C12333,1
100nF,"C1,C10,C11,C12,C13,C2,C3,C4,C6,C7,C8,C9",C_0402_1005Metric,C1525,12
4.7nF/1kV,C5,C_0402_1005Metric,C1538,1
CPU,D2,D_0603_1608Metric,C2286,1
1K0,"R1,R4,R5,R7",R_0402_1005Metric,C25744,4
4K7,R6,R_0402_1005Metric,C25900,1
5K1,"R2,R3",R_0402_1005Metric,C25905,2
1M0,R8,R_0402_1005Metric,C26083,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
WS2812B,"D10,D3,D4,D5,D6,D7,D8,D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785,8
ATtiny85-20S,U1,SOIC-8_5.3x5.3mm_P1.27mm,C31540447,1
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681,1
