Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,9.1075,36.7284,180.0,top
C10,100nF,C_0402_1005Metric,10.0076,54.86615,270.0,bottom
C11,100nF,C_0402_1005Metric,10.0076,62.4104,270.0,bottom
C12,100nF,C_0402_1005Metric,10.0076,70.03805,270.0,bottom
C13,100nF,C_0402_1005Metric,10.0076,77.624,270.0,bottom
C2,100nF,C_0402_1005Metric,10.3632,24.7168,-90.0,top
C3,100nF,C_0402_1005Metric,1.5748,20.9068,-90.0,top
C4,100nF,C_0402_1005Metric,10.3632,20.9068,-90.0,top
C5,4.7nF/1kV,C_0402_1005Metric,3.7592,12.7301,-90.0,top
C6,100nF,C_0402_1005Metric,10.2108,13.0064,270.0,bottom
C7,100nF,C_0402_1005Metric,10.2108,21.55235,90.0,bottom
C8,100nF,C_0402_1005Metric,10.2108,28.1783,270.0,bottom
C9,100nF,C_0402_1005Metric,10.0076,35.76425,270.0,bottom
D1,PRTR5V0U2X,SOT-143,6.0,12.4601,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,76.454,0.0,bottom
D2,CPU,D_0603_1608Metric,2.8701,38.3032,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,11.8364,0.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,19.42235,0.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,27.0083,0.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,34.59425,0.0,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,53.69615,0.0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,61.2821,0.0,bottom
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5.9436,68.86805,0.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,6.0,4.8992,0.0,top
R1,1K0,R_0402_1005Metric,6.6096,27.8912,-90.0,top
R2,5K1,R_0402_1005Metric,8.26,9.5504,0.0,top
R3,5K1,R_0402_1005Metric,4.24,9.5504,180.0,top
R4,1K0,R_0402_1005Metric,5.3904,27.8912,-90.0,top
R5,1K0,R_0402_1005Metric,1.5748,12.9764,90.0,bottom
R6,4K7,R_0402_1005Metric,3.1476,36.7284,0.0,top
R7,10K0,R_0402_1005Metric,10.3632,17.7292,-90.0,top
R8,1M0,R_0402_1005Metric,2.6924,12.7001,-90.0,top
U1,ATtiny85-20S,SOIC-8_5.3x5.3mm_P1.27mm,6.0,32.766,0.0,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,6.0,20.7518,0.0,top
